year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2017,2017-02-13,Southbound,All Vehicles,126,73,42,53,113,377,1089,1608,1512,1189,889,877,950,1036,1054,1381,1628,1598,1415,946,731,599,422,230,0,0
2017,2017-02-13,Northbound,All Vehicles,118,64,48,53,89,327,734,1074,1145,914,791,684,794,820,1039,1134,1204,1290,1137,882,651,526,380,216,0,0
2017,2017-02-14,Northbound,All Vehicles,131,51,53,56,99,333,778,1081,1100,882,749,708,662,884,1027,1233,1249,1202,1081,762,577,557,515,310,0,0
2017,2017-02-14,Southbound,All Vehicles,139,59,45,60,100,396,1200,1597,1593,1123,845,923,1040,1064,1252,1545,1569,1698,1511,974,745,635,513,334,0,0
2017,2017-02-15,Southbound,All Vehicles,174,80,46,58,85,438,1211,1630,1686,1191,1009,945,985,1103,1334,1537,1511,1730,1456,1084,789,737,525,277,0,0
2017,2017-02-15,Northbound,All Vehicles,139,69,75,41,94,350,793,1049,1089,900,806,860,864,937,1032,1192,1193,1221,1214,894,682,606,466,265,0,0
2017,2017-02-16,Southbound,All Vehicles,135,74,56,56,100,435,1178,1625,1603,1164,917,890,1019,828,1332,1479,1630,1649,1507,1095,826,746,616,288,0,0
2017,2017-02-16,Northbound,All Vehicles,134,60,56,56,103,335,732,1099,1086,836,757,822,849,910,948,1202,1183,1212,1232,893,700,668,510,264,0,0
2017,2017-02-17,Northbound,All Vehicles,158,77,58,50,106,383,746,1050,1049,818,773,805,781,884,1136,1075,1111,1251,1148,908,644,584,555,434,0,0
2017,2017-02-17,Southbound,All Vehicles,194,85,75,81,127,505,1249,1580,1580,1146,999,1048,1004,868,1167,1222,1461,1635,1370,1184,807,767,794,464,0,0
2017,2017-02-18,Southbound,All Vehicles,299,166,98,80,94,253,608,753,893,1127,1236,1336,1355,1444,1353,1381,1250,1180,1127,871,678,722,766,652,0,0
2017,2017-02-18,Northbound,All Vehicles,232,144,124,79,63,242,490,622,918,951,1048,1036,1204,1133,1215,1159,1098,1059,964,814,616,620,621,524,0,0
2017,2017-02-19,Northbound,All Vehicles,350,180,113,84,59,125,193,294,508,851,809,931,1003,974,1039,1019,971,982,1048,796,721,624,890,807,0,0
2017,2017-02-19,Southbound,All Vehicles,426,214,129,125,94,144,259,373,581,903,1005,1104,1157,1142,1074,1180,1111,1073,1065,897,733,705,462,280,0,0
2017,2017-02-20,Southbound,All Vehicles,136,78,51,67,106,438,1135,1567,1331,988,874,874,701,841,1287,1528,1247,1589,1305,935,723,593,456,235,0,0
2017,2017-02-20,Northbound,All Vehicles,361,181,120,124,205,347,726,1003,1173,851,741,749,798,845,960,1185,1238,1269,1068,821,639,550,770,760,0,0
2017,2017-02-21,Northbound,All Vehicles,341,179,146,139,201,329,760,1051,1219,1056,823,749,815,866,1076,1186,1158,1217,1143,848,670,534,647,639,0,0
2017,2017-02-21,Southbound,All Vehicles,120,62,53,58,96,429,1198,1673,1618,1233,960,854,976,1080,1292,1600,1570,1763,1466,1095,812,627,502,221,0,0
2017,2017-02-22,Northbound,All Vehicles,292,158,132,127,131,348,789,1026,1229,964,756,792,798,839,1052,1094,1158,1241,1158,914,711,566,374,208,0,0
2017,2017-02-22,Southbound,All Vehicles,132,74,66,87,109,457,1213,1634,1602,1251,907,871,972,1053,1289,1573,1486,1621,1190,721,735,727,608,277,0,0
2017,2017-02-23,Northbound,All Vehicles,136,53,69,42,112,346,765,1039,1184,905,714,822,762,920,1020,1184,1192,1277,1172,876,699,649,494,280,0,0
2017,2017-02-23,Southbound,All Vehicles,175,73,76,69,122,443,1137,1635,1603,1214,1033,783,781,814,1193,1527,1566,1625,1278,1003,843,735,559,308,0,0
2017,2017-02-24,Northbound,All Vehicles,115,80,61,65,96,324,699,1004,1121,853,785,788,959,915,1151,1157,1182,1233,1251,963,760,601,668,404,0,0
2017,2017-02-24,Southbound,All Vehicles,117,95,65,68,117,421,1156,1584,1492,1166,1052,1019,1038,1184,1317,1550,1500,1697,1619,1161,865,677,674,543,0,0
2017,2017-02-25,Southbound,All Vehicles,295,151,117,87,98,225,568,695,869,1108,1228,1303,1328,1432,1272,1282,1245,1258,1216,878,662,618,663,569,0,0
2017,2017-02-25,Northbound,All Vehicles,248,154,95,66,80,234,471,629,871,939,1066,1041,1099,1106,1228,1045,1060,996,1012,776,626,551,563,508,0,0
2017,2017-02-26,Northbound,All Vehicles,325,162,96,81,56,104,184,251,458,806,830,988,1046,982,931,959,1012,942,994,809,720,553,442,260,0,0
2017,2017-02-26,Southbound,All Vehicles,403,177,125,105,95,137,219,333,533,833,882,1080,1175,1123,1092,1132,1170,1032,970,823,683,616,499,264,0,0
2017,2017-02-27,Southbound,All Vehicles,133,51,46,57,120,423,1068,1595,1574,1134,874,819,938,951,1262,1515,1525,1571,1471,976,698,577,421,213,0,0
2017,2017-02-27,Northbound,All Vehicles,118,39,41,38,95,340,699,1066,1282,940,796,771,856,830,1024,1117,1251,1256,1118,759,592,549,352,232,0,0
2017,2017-02-28,Northbound,All Vehicles,117,43,54,44,90,332,767,1066,1208,952,738,819,814,820,1007,1185,1277,1246,1171,844,652,505,428,237,0,0
2017,2017-02-28,Southbound,All Vehicles,145,57,46,62,114,388,1156,1634,1679,1185,964,849,917,1078,1222,1546,1615,1649,1408,1018,802,626,471,230,0,0
2017,2017-03-01,Northbound,All Vehicles,98,66,61,46,84,340,680,1027,1124,967,657,706,816,819,980,1153,1163,1301,1188,843,636,551,455,210,0,0
2017,2017-03-01,Southbound,All Vehicles,126,76,55,54,105,408,1145,1687,1498,1273,956,950,950,1061,1229,1512,1546,1568,1368,995,780,727,493,248,0,0
2017,2017-03-02,Northbound,All Vehicles,134,56,48,49,98,331,718,1133,1207,966,823,853,810,832,1042,1249,1193,1188,1124,783,628,548,463,264,0,0
2017,2017-03-02,Southbound,All Vehicles,117,73,46,53,101,423,1130,1555,1634,1148,957,946,987,1122,1309,1637,1592,1652,1454,975,739,674,524,258,0,0
2017,2017-03-03,Northbound,All Vehicles,129,59,54,67,97,312,714,968,1168,947,767,733,651,845,1060,1174,1203,1183,1172,866,600,535,532,393,0,0
2017,2017-03-03,Southbound,All Vehicles,142,94,57,62,116,403,1090,1548,1446,1319,1016,1027,1017,1083,1327,1543,1550,1601,1452,981,827,710,658,452,0,0
2017,2017-03-04,Northbound,All Vehicles,213,94,79,64,60,208,451,575,779,872,1030,1073,1081,1109,1076,1118,984,1084,1075,866,625,537,557,481,0,0
2017,2017-03-04,Southbound,All Vehicles,280,152,105,94,113,202,486,634,863,1080,1184,1274,1304,1349,1322,1265,1227,1188,1070,826,630,656,679,580,0,0
2017,2017-03-05,Southbound,All Vehicles,423,239,149,116,117,124,269,353,530,791,902,1082,1143,1022,1101,1040,1053,1026,925,738,669,635,470,231,0,0
2017,2017-03-05,Northbound,All Vehicles,329,169,96,86,68,125,180,271,492,760,825,914,943,948,947,975,998,1002,978,707,681,563,428,241,0,0
2017,2017-03-06,Northbound,All Vehicles,124,51,47,52,97,333,699,984,1220,912,782,792,766,825,982,1108,1246,1296,1096,816,631,526,374,219,0,0
2017,2017-03-06,Southbound,All Vehicles,112,72,55,43,105,461,1131,1543,1631,1058,879,799,989,979,1175,1538,1506,1587,1357,941,625,562,410,221,0,0
2017,2017-03-07,Southbound,All Vehicles,121,72,60,57,110,404,1139,1581,1570,1142,951,813,869,1032,1264,1514,1587,1592,1461,1042,729,594,428,213,0,0
2017,2017-03-07,Northbound,All Vehicles,105,65,53,48,111,315,734,1039,1238,987,797,749,792,795,991,1118,1225,1224,1236,785,586,491,390,223,0,0
2017,2017-03-08,Northbound,All Vehicles,116,42,62,34,111,326,738,1003,1266,990,757,753,782,884,1024,1147,1199,1287,1223,827,617,550,449,200,0,0
2017,2017-03-08,Southbound,All Vehicles,138,84,46,49,112,449,1120,1594,1553,1159,910,897,918,1042,1309,1543,1605,1670,1412,1039,740,692,496,250,0,0
2017,2017-03-09,Southbound,All Vehicles,138,84,47,60,113,412,1121,1541,1593,1193,939,989,965,1023,1205,1546,1520,1594,1481,1003,717,661,510,301,0,0
2017,2017-03-09,Northbound,All Vehicles,109,61,61,54,98,349,729,1065,1177,851,842,779,815,878,1037,1142,1271,1166,1095,853,640,588,439,229,0,0
2017,2017-03-10,Southbound,All Vehicles,168,87,65,56,118,430,1118,1550,1639,1240,996,992,1100,1190,1412,1578,1602,1636,1487,1163,846,702,671,579,0,0
2017,2017-03-10,Northbound,All Vehicles,120,72,59,54,104,382,679,1051,1030,780,715,825,835,844,1045,1249,1249,1226,1182,1006,677,606,552,444,0,0
2017,2017-03-11,Northbound,All Vehicles,252,128,117,74,80,228,463,586,868,973,1079,1079,1236,1230,1126,1172,1029,1160,1099,892,662,613,678,536,0,0
2017,2017-03-11,Southbound,All Vehicles,339,205,119,87,90,237,524,724,927,1109,1303,1375,1362,1472,1352,1365,1201,1286,1189,1022,763,798,749,710,0,0
2017,2017-03-12,Southbound,All Vehicles,448,221,166,140,115,163,252,352,577,886,1021,1100,1298,1219,1181,1193,1127,1120,990,780,769,676,521,276,0,0
2017,2017-03-12,Northbound,All Vehicles,325,184,139,63,78,130,191,281,512,796,899,981,966,917,946,1026,1032,1101,1132,935,713,591,467,269,0,0
2017,2017-03-13,Northbound,All Vehicles,137,51,43,42,102,322,703,1047,1200,905,774,847,759,830,1038,1097,1249,1178,1090,782,537,502,345,176,0,0
2017,2017-03-13,Southbound,All Vehicles,127,66,53,66,110,436,1129,1565,1541,1127,897,908,942,1000,1228,1485,1530,1677,1467,901,628,531,401,190,0,0
2017,2017-03-14,Southbound,All Vehicles,92,66,47,53,108,414,1171,1642,1699,1144,957,907,1012,1037,1241,1422,1581,1637,1353,965,626,586,413,200,0,0
2017,2017-03-14,Northbound,All Vehicles,99,56,50,44,119,324,706,1083,1260,1030,875,864,827,890,1068,1121,1205,1225,1158,729,614,556,388,187,0,0
2017,2017-03-15,Southbound,All Vehicles,131,83,56,51,96,432,1137,1708,1592,1307,902,874,979,946,1234,1524,1629,1592,1339,995,733,641,495,352,0,0
2017,2017-03-15,Northbound,All Vehicles,108,56,57,46,96,332,666,1027,1225,887,734,786,823,868,1029,1194,1248,1283,1197,803,638,526,417,265,0,0
